puntuación;review;sentimiento
2;El lugar muy bonito, la atención buena. Pedimos un calamar a la plancha para picar y era UN calamar con poco sabor. Para plato principal pedimos fideuá… tristísima. Realmente prefiero hacer unos fideos con salsa de tomate en casa y…;neutral
2;El lugar muy bonito, la atención buena. Pedimos un calamar a la plancha para picar y era UN calamar con poco sabor. Para plato principal pedimos fideuá… tristísima. Realmente prefiero hacer unos fideos con salsa de tomate en casa y…;neutral
3;Buen sitio para comer arroces en primera línea de playa. Hay que reservar ya que  siempre está lleno. La atención fue buena por parte del camarero. La comida está buena pero no me sorprendió especialmente. Esperaba las mejores paellas de…;positivo
3;Buen sitio para comer arroces en primera línea de playa. Hay que reservar ya que  siempre está lleno. La atención fue buena por parte del camarero. La comida está buena pero no me sorprendió especialmente. Esperaba las mejores paellas de…;positivo
1;"Nos hemos llevado una gran decepción.
Veníamos con la idea de comernos una rica paella al lado de la playa y nos hemos ido comiendonos una paella aceptable sin más en el interior de un local enorme…";negativo
1;"Nos hemos llevado una gran decepción.
Veníamos con la idea de comernos una rica paella al lado de la playa y nos hemos ido comiendonos una paella aceptable sin más en el interior de un local enorme…";negativo
1;Un poco decepción, después de las buenas recomendaciones vistas creo que el único encanto del sitio es que está cerca de la playa. La comida es aceptable, no te vas a quedar con hambre pero la calidad y la ejecución no son buenas. La fideua…;negativo
1;Un poco decepción, después de las buenas recomendaciones vistas creo que el único encanto del sitio es que está cerca de la playa. La comida es aceptable, no te vas a quedar con hambre pero la calidad y la ejecución no son buenas. La fideua…;negativo
5;Paellas buenísimas!!! Pedimos la de langosta , y estaba riquísima,muy sabrosa, y con el socarrat🤤 100% recomendable!;positivo
5;Paellas buenísimas!!! Pedimos la de langosta , y estaba riquísima,muy sabrosa, y con el socarrat🤤 100% recomendable!;positivo
5;De los mejores sitios para comer paella  , y productos del mar , aconsejable reservar siempre completo , personal muy amable y atento sobre todo Amador , numerosos famosos desde hace tiempo hasta actuales pasan x aquí;positivo
5;De los mejores sitios para comer paella  , y productos del mar , aconsejable reservar siempre completo , personal muy amable y atento sobre todo Amador , numerosos famosos desde hace tiempo hasta actuales pasan x aquí;positivo
5;Restaurante excepcional, el servicio exquisito, la comida deliciosa, hice fotos de los entrantes y estaba todo riquísimo, cuando llegó el arroz caldoso de bogavante y la paella de rochos, estaba disfrutando tanto de la comida y tenía tan bien aspecto que ni me acordé de hacerle fotos a los platos principales;positivo
5;Restaurante excepcional, el servicio exquisito, la comida deliciosa, hice fotos de los entrantes y estaba todo riquísimo, cuando llegó el arroz caldoso de bogavante y la paella de rochos, estaba disfrutando tanto de la comida y tenía tan bien aspecto que ni me acordé de hacerle fotos a los platos principales;positivo
5;"Entrantes cuidados y bien cocinados. Paella Pepica espectacular. Rapidez  y amabilidad en el servicio. Local bien ventilado y cumplimiento la normativa COVID.
Altamente recomendable.";positivo
5;"Entrantes cuidados y bien cocinados. Paella Pepica espectacular. Rapidez  y amabilidad en el servicio. Local bien ventilado y cumplimiento la normativa COVID.
Altamente recomendable.";positivo
3;En general la paella estaba muy buena pero el resto de los entrantes eran normales, ni una delicia al paladar ni un plato que tuvieras que dejarte. Estaba bien sin alardes. Estuvimos comiendo un domingo y el sitio estaba bastante lleno así…;positivo
3;En general la paella estaba muy buena pero el resto de los entrantes eran normales, ni una delicia al paladar ni un plato que tuvieras que dejarte. Estaba bien sin alardes. Estuvimos comiendo un domingo y el sitio estaba bastante lleno así…;positivo
2;"Desde luego una decepción. ""Cria fama..."" Mucha propaganda pero nada aconsejable. La paella era insípida, poco gustosa. La amanida pobre y sencilla por el precio q piden. El pan que sirven está bueno. El camarero corriendo arriba y abajo,…";neutral
2;"Desde luego una decepción. ""Cria fama..."" Mucha propaganda pero nada aconsejable. La paella era insípida, poco gustosa. La amanida pobre y sencilla por el precio q piden. El pan que sirven está bueno. El camarero corriendo arriba y abajo,…";neutral
